City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Yar-Sale,RU,2021-04-25 20:37:37,66.8333,70.8333,33.4,90,100,12.21
173,Katsuura,JP,2021-04-25 20:31:37,35.1333,140.3,50.0,43,20,21.85
174,Cidreira,BR,2021-04-25 20:34:08,-30.1811,-50.2056,68.4,72,78,13.0
175,Aketi,CD,2021-04-25 20:39:42,2.7388,23.7833,68.13,99,100,3.42
176,Lebork,PL,2021-04-25 20:39:43,54.5392,17.7501,33.8,80,0,5.75
177,Svetlogorsk,BY,2021-04-25 20:39:43,52.6333,29.7333,31.96,78,11,5.95
178,San Quintin,MX,2021-04-25 20:39:44,30.4833,-115.95,64.11,63,42,18.01
179,Esperance,AU,2021-04-25 20:35:49,-33.8667,121.9,59.0,63,0,17.27
180,Olafsvik,IS,2021-04-25 20:34:33,64.8945,-23.7142,42.6,86,13,12.88
181,La Ronge,CA,2021-04-25 20:36:46,55.1001,-105.2842,39.2,52,100,12.66
182,Iqaluit,CA,2021-04-25 20:33:48,63.7506,-68.5145,33.8,80,90,3.44
183,Cockburn Town,TC,2021-04-25 20:37:04,21.4612,-71.1419,82.4,65,40,13.8
184,Leningradskiy,RU,2021-04-25 20:33:34,69.3833,178.4167,23.09,85,100,2.33
185,Lorengau,PG,2021-04-25 20:34:46,-2.0226,147.2712,79.93,82,56,5.66
186,Candido Mendes,BR,2021-04-25 20:39:46,-1.4467,-45.7167,77.16,91,71,3.49
187,Ambon,ID,2021-04-25 20:39:46,-3.6954,128.1814,75.2,88,40,10.36
188,Wuwei,CN,2021-04-25 20:39:46,37.9281,102.6414,41.18,38,6,2.19
189,Cherskiy,RU,2021-04-25 20:33:10,68.75,161.3,10.65,90,97,4.92
190,Ust-Kut,RU,2021-04-25 20:39:47,56.7938,105.7672,27.05,97,99,3.74
191,Las Varas,MX,2021-04-25 20:39:48,21.1667,-105.1667,89.6,33,40,9.22
192,Lake Charles,US,2021-04-25 20:39:48,30.2131,-93.2044,82.4,53,1,8.05
193,Matara,LK,2021-04-25 20:39:49,5.9485,80.5353,77.25,88,21,2.89
194,Black River,JM,2021-04-25 20:34:31,18.0264,-77.8487,84.2,70,40,11.5
195,Dodola,ET,2021-04-25 20:39:49,6.9833,39.1833,54.91,90,100,1.14
196,Harpanahalli,IN,2021-04-25 20:39:50,14.8,75.9833,81.01,54,65,6.22
197,Korhogo,CI,2021-04-25 20:39:50,9.45,-5.6333,87.55,38,91,7.38
198,Sao Filipe,CV,2021-04-25 20:32:50,14.8961,-24.4956,72.91,70,68,10.96
199,Tabuk,PH,2021-04-25 20:39:51,17.4189,121.4443,69.13,87,21,2.46
200,Chokurdakh,RU,2021-04-25 20:32:58,70.6333,147.9167,20.05,94,100,14.09
201,Gizo,SB,2021-04-25 20:39:51,-8.103,156.8419,83.01,72,17,3.56
202,Faya,SA,2021-04-25 20:33:49,18.3851,42.4509,62.6,67,40,6.91
203,Wajima,JP,2021-04-25 20:37:20,37.4,136.9,47.5,44,3,14.65
204,Zhigansk,RU,2021-04-25 20:37:16,66.7697,123.3711,32.34,99,100,8.46
205,Hualmay,PE,2021-04-25 20:37:01,-11.0964,-77.6139,70.34,77,16,8.84
206,Ilulissat,GL,2021-04-25 20:34:48,69.2167,-51.1,50.0,43,97,11.5
207,Mangaratiba,BR,2021-04-25 20:39:53,-22.9597,-44.0406,77.0,69,20,8.05
208,Vao,NC,2021-04-25 20:31:17,-22.6667,167.4833,74.19,70,68,13.51
209,Narsaq,GL,2021-04-25 20:35:59,60.9167,-46.05,50.0,32,75,19.57
210,Port Hardy,CA,2021-04-25 20:31:57,50.6996,-127.4199,50.0,87,90,6.91
