City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
294,Verkhnevilyuysk,RU,63.4453,120.3167,32.16,98,100,4.52,overcast clouds
295,Zhuhai,CN,22.2769,113.5678,75.2,83,40,17.27,scattered clouds
296,Chegdomyn,RU,51.1167,133.0167,36.18,40,99,1.68,overcast clouds
297,Hope,US,33.6671,-93.5916,77.0,33,0,1.99,clear sky
298,Camuy,PR,18.4838,-66.8449,81.0,83,90,12.66,overcast clouds
299,Pevek,RU,69.7008,170.3133,20.88,90,100,11.27,overcast clouds
300,Port Macquarie,AU,-31.4333,152.9167,60.01,81,9,3.0,clear sky
301,Tuatapere,NZ,-46.1333,167.6833,46.99,82,89,13.0,overcast clouds
302,College,US,64.8569,-147.8028,60.8,33,1,1.1,clear sky
303,Kaitangata,NZ,-46.2817,169.8464,51.01,59,78,5.01,broken clouds
304,Worland,US,44.0169,-107.9554,66.99,24,20,16.11,few clouds
305,Darasun,RU,51.6667,114.0,39.2,75,75,6.71,moderate rain
306,Dudinka,RU,69.4058,86.1778,3.49,100,100,3.78,overcast clouds
307,Bismarck,US,46.8083,-100.7837,39.2,81,90,12.66,overcast clouds
308,Charters Towers,AU,-20.1,146.2667,68.58,84,99,10.83,overcast clouds
309,Aykhal,RU,66.0,111.5,4.03,95,100,24.45,overcast clouds
310,Kutum,SD,14.2,24.6667,78.28,16,11,8.9,few clouds
311,Zenzeli,RU,45.9241,47.0474,49.64,63,100,11.01,light rain
312,Valparaiso,CL,-33.0393,-71.6273,57.2,88,0,2.3,clear sky
313,Geraldton,AU,-28.7667,114.6,64.4,52,0,10.36,clear sky
314,Sonoita,MX,31.85,-112.8333,88.0,13,54,7.0,broken clouds
315,Surt,LY,31.2089,16.5887,62.11,84,0,7.36,clear sky
316,Lahij,YE,13.1667,44.5833,76.41,75,52,2.8,broken clouds
317,Bardiyah,LY,31.7561,25.0865,61.11,85,6,19.93,clear sky
318,Nome,US,64.5011,-165.4064,44.6,65,1,4.61,clear sky
319,Ponta Do Sol,PT,32.6667,-17.1,59.0,86,58,4.0,broken clouds
320,Karasburg,NA,-28.0167,18.75,67.68,40,99,5.08,overcast clouds
321,Fort Dodge,US,42.4975,-94.168,57.2,35,1,13.8,clear sky
322,Great Falls,US,47.5002,-111.3008,44.6,70,90,5.75,overcast clouds
323,Camacari,BR,-12.6975,-38.3242,80.6,74,40,10.36,scattered clouds
324,Mazagao,BR,-0.115,-51.2894,80.6,89,75,5.75,light rain
325,Plettenberg Bay,ZA,-34.0527,23.3716,65.71,71,100,4.9,overcast clouds
326,Asfi,MA,32.2994,-9.2372,63.9,82,7,22.21,clear sky
327,Kahului,US,20.8947,-156.47,80.6,61,40,23.02,scattered clouds
328,Domoni,KM,-12.2569,44.5319,79.03,82,100,4.74,overcast clouds
329,Saint Anthony,US,45.0205,-93.218,42.8,56,90,13.8,overcast clouds
330,Balaguer,ES,41.7912,0.8109,59.0,58,0,12.66,clear sky
